,source_node,path,distance
0,0,"[0, 12, 10]",3
1,1,"[1, 33, 77, 5]",4
2,2,"[2, 17, 20]",3
3,3,"[3, 15]",2
4,4,"[4, 77, 5]",3
5,5,[5],1
6,6,"[6, 17, 20]",3
7,7,"[7, 2, 17, 20]",4
8,8,"[8, 43, 11, 20]",4
9,9,"[9, 97, 65, 29, 20]",5
10,10,[10],1
11,11,"[11, 20]",2
12,12,"[12, 10]",2
13,13,"[13, 51, 94, 10]",4
14,14,"[14, 41, 30, 10]",4
15,15,[15],1
16,16,"[16, 66, 15]",3
17,17,"[17, 20]",2
18,18,"[18, 90, 31, 15]",4
19,19,"[19, 15]",2
20,20,[20],1
21,21,"[21, 19, 15]",3
22,22,"[22, 16, 66, 15]",4
23,23,"[23, 74, 5]",3
24,24,"[24, 66, 15]",3
25,25,[25],1
26,26,"[26, 73, 94, 10]",4
27,27,"[27, 19, 15]",3
28,28,"[28, 18, 90, 31, 15]",5
29,29,"[29, 20]",2
30,30,"[30, 10]",2
31,31,"[31, 15]",2
32,32,"[32, 19, 15]",3
33,33,"[33, 77, 5]",3
34,34,"[34, 96, 92, 77, 5]",5
35,35,"[35, 84, 25]",3
36,36,"[36, 12, 10]",3
37,37,"[37, 54, 25]",3
38,38,"[38, 89, 60, 10]",4
39,39,"[39, 52, 20]",3
40,40,"[40, 10]",2
41,41,"[41, 30, 10]",3
42,42,"[42, 74, 5]",3
43,43,"[43, 11, 20]",3
44,44,"[44, 90, 31, 15]",4
45,45,"[45, 40, 10]",3
46,46,"[46, 47, 11, 20]",4
47,47,"[47, 11, 20]",3
48,48,"[48, 79, 40, 10]",4
49,49,"[49, 25]",2
50,50,"[50, 19, 15]",3
51,51,"[51, 94, 10]",3
52,52,"[52, 20]",2
53,53,"[53, 57, 6, 17, 20]",5
54,54,"[54, 25]",2
55,55,"[55, 3, 15]",3
56,56,"[56, 42, 74, 5]",4
57,57,"[57, 6, 17, 20]",4
58,58,"[58, 11, 20]",3
59,59,"[59, 77, 5]",3
60,60,"[60, 10]",2
61,61,"[61, 40, 10]",3
62,62,"[62, 41, 30, 10]",4
63,63,"[63, 3, 15]",3
64,64,"[64, 41, 30, 10]",4
65,65,"[65, 29, 20]",3
66,66,"[66, 15]",2
67,67,"[67, 0, 12, 10]",4
68,68,"[68, 72, 77, 5]",4
69,69,"[69, 42, 74, 5]",4
70,70,"[70, 84, 25]",3
71,71,"[71, 84, 25]",3
72,72,"[72, 77, 5]",3
73,73,"[73, 94, 10]",3
74,74,"[74, 5]",2
75,75,"[75, 47, 11, 20]",4
76,76,"[76, 92, 77, 5]",4
77,77,"[77, 5]",2
78,78,"[78, 11, 20]",3
79,79,"[79, 40, 10]",3
80,80,"[80, 59, 77, 5]",4
81,81,"[81, 19, 15]",3
82,82,"[82, 40, 10]",3
83,83,"[83, 29, 20]",3
84,84,"[84, 25]",2
85,85,"[85, 81, 19, 15]",4
86,86,"[86, 10]",2
87,87,"[87, 17, 20]",3
88,88,"[88, 35, 84, 25]",4
89,89,"[89, 60, 10]",3
90,90,"[90, 31, 15]",3
91,91,"[91, 77, 5]",3
92,92,"[92, 77, 5]",3
93,93,"[93, 84, 25]",3
94,94,"[94, 10]",2
95,95,"[95, 31, 15]",3
96,96,"[96, 92, 77, 5]",4
97,97,"[97, 65, 29, 20]",4
98,98,"[98, 52, 20]",3
99,99,"[99, 4, 77, 5]",4
